quantification_cDNA;coverage_depth;reads;coverage_genome
33;419.5216;32676;95.281
24.4;278.0676;21729;94.158
21.8;322.3164;25165;93.094
30;274.5747;21039;93.114
39.8;248.4003;19045;91.375
34.2;196.3809;15125;88.851
38.4;176.6183;13568;86.005
45.6;288.3672;22063;93.114
19.6;195.7086;15068;88.74
45.5;381.7654;29350;92.128
34.8;173.5894;13360;85.938
27.4;310.1709;23628;95.027
41.6;373.9119;28418;93.114
17.2;92.3986;7133;74.879
20.6;204.8889;15638;85.109
43.4;394.6885;29982;93.114
16.6;106.1497;8199;73.561
22.8;276.5117;21158;92.128
30;238.4639;18158;92.128
34.2;357.6158;27174;93.114
26.8;189.7177;14517;89.78
42.2;565.7891;43000;93.114
48;292.9122;22363;89.78
61.6;471.1816;35868;95.027
59;508.7063;38650;95.027
49.2;286.2271;21875;93.114
49.6;338.8342;26022;93.114
23.6;303.921;23205;93.114
30.8;233.7201;17914;91.553
25;186.4724;14305;84.985
26;267.6295;20473;92.262
24.8;244.7351;18704;89.78
31.2;247.8917;18952;90.345
35.2;219.8201;16716;89.824
23.2;227.441;17309;86.182
18.3;200.5087;15364;86.115
33;275.2399;20944;91.553
8.32;3.2529;271;2.856
58.2;295.7064;22593;90.666
57.2;190.7752;14575;88.804
55;318.0704;24196;93.114
47.2;219.96;16820;91.519
38.4;147.4604;11314;77.246
41.2;369.4024;28110;95.027
29.8;364.359;27749;93.114
33.4;426.4203;32414;93.114
33.2;239.9435;18391;86.954
37.4;278.3703;21269;88.851
36.4;169.9501;13077;85.172
35.8;301.7608;23047;93.114
28.8;185.0985;14196;88.015
25.6;345.9405;26416;92.262
34.6;616.5852;46944;93.114
32.6;341.4074;26124;89.78
57.8;378.092;28815;93.114
47.2;463.5214;35398;93.114
61.2;337.1888;25718;93.114
23.4;443.5793;33695;93.114
28.4;233.4449;17815;92.262
16;795.6575;60810;93.114
23.6;604.7918;46357;93.114
12.9;253.8413;19548;86.814
18.3;72.4964;5775;74.598
30.4;262.4965;20229;95.87
18.2;321.9641;24609;91.519
14.6;418.2935;32047;92.128
17.6;290.3592;22172;93.114
17.8;179.2182;13760;91.014
8.38;99.7503;7751;70.548
20;338.8366;25830;92.262
21.4;290.1768;22127;92.262
15.9;174.7028;13306;85.276
32.8;258.7771;19713;94.174
35.8;202.7202;15505;93.094
15.5;84.2385;6539;71.789
21.8;84.9511;6629;85.577
25.2;347.3009;26370;93.114
13.2;105.8021;8181;69.461
20.8;195.7993;14986;83.982
26;327.1927;25200;89.78
28.2;303.6603;23212;87.657
24.6;277.2068;21220;92.262
30.2;221.6475;17054;85.888
15.8;136.4121;10515;79.226
31.8;138.6214;10700;91.399
32.6;493.4089;37526;93.114
33.6;265.2404;20368;87.864
24;213.3768;16337;87.874
27.2;252.852;19383;90.389
34.2;296.4438;22671;88.409
21.4;208.8734;16143;91.375
24.2;248.5788;19042;91.309
20.4;148.8149;11489;91.492
6.92;58.8629;4624;52.968
23.8;131.3897;10144;89.242
22.6;145.383;11207;91.205
21.2;159.5979;12242;91.185
38.6;98.9311;7817;79.363
59;60.8242;4908;69.832
81.8;57.37584858;25072;92.121
42.2;5.45811457;10198;51.426
94;80.78995419;37247;91.268
53.6;49.51366084;23703;89.556
118;84.96993613;42547;92.86
104;131.3372906;54078;93.947
106;92.47741029;43285;94.482
88.4;93.14740996;41271;92.262
110;80.88228606;37730;96
58.8;50.60508979;24711;93.195
77.6;54.68280775;26440;90.549
116;89.33588603;43644;96
61.4;120.1479116;56412;95.87
95.2;97.00785874;40050;95.141
60.2;45.01023309;19793;90.549
65.8;65.90298632;29876;91.402
75.8;68.40587901;30422;92.262
51.6;47.83399659;23106;88.593
59.8;41.43373575;19302;91.409
62.8;47.62298097;22791;89.84
47;49.3205364;23087;91.466
102;143.8993078;57748;96.994
40.2;12.47510283;15210;59.696
69;95.93719694;39151;93.947
77.8;82.43988897;35804;91.268
36.4;0.26258235;310;2.398
82;106.2739859;49704;94.017
59;37.2468983;17136;89.322
80.6;61.05955924;30738;89.616
83.8;64.73828713;27441;91.272
106;102.7793532;52432;96.994
92.6;80.83516704;35507;94.298
77.2;31.61077484;14797;89.723
42.2;16.48667358;8612;77.056
75.4;78.55061365;35879;95.141
118;76.5558974;34974;94.873
94.2;111.0131091;46644;95.141
58.6;89.08343644;37719;94.877
120;154.6834431;70919;96.994
87.6;50.01688794;20953;89.616
89;83.03845768;34614;96
40.6;45.5457312;22441;89.533
60;50.45868308;22164;92.094
67;46.82797713;21730;92.094
67.6;35.17687189;17053;89.536
20.4;22.37156807;13997;79.885
86;89.94739658;42009;93.088
90.2;88.47376517;45045;96.134
74.8;88.01892787;38954;94.017
68.2;61.78701134;28655;92.115
92.4;63.72420827;30104;91.262
104;128.8408521;60400;92.954
90.6;50.29027188;22983;92.104
62.6;74.7706919;36980;95.87
74.4;76.70584891;31893;95.141
45.8;58.23335451;23112;92.262
51.2;109.4811557;44774;95.011
63;115.3385613;51985;93.114
27.4;10.54071498;10495;65.288
44.6;21.39688326;11541;76.989
34.2;25.52101796;13673;82.206
92.6;50.19299067;21399;92.673
43.4;12.57813597;7936;70.317
71.4;66.84857707;29440;93.385
98.4;10.62632512;5943;69.11
42.4;69.34364445;30980;92.533
112;122.401866;55127;95.171
23.4;0.402802394;451;5.856
34.2;34.04023008;16733;91.185
66.4;47.70280574;20499;91.456
68.8;36.58616192;15904;91.516
47.6;40.69029863;18759;92.643
79;46.5000836;21107;91.322
50.6;24.57753403;12770;85.908
12.2;3.714242718;5023;43.089
33.4;32.0654115;17457;82.948
21.4;0.124536;227;2.378
25.6;4.690766813;17087;51.51
44.4;41.53817343;18282;90.683
72;73.32006822;31149;93.325
41.2;47.78898438;22433;91.516
98.4;52.74788483;26973;94.348
100;27.81623917;10461;88.827
72;45.51700498;19280;93.302
69;68.11065779;29687;94.97
